DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ
02:46:56.031152;oklm-VirtualBox.60249;60249;bbox.lan.domain:;1au;
02:46:56.033016;oklm-VirtualBox.37114;37114;bbox.lan.domain:;1au;
02:46:56.038734;oklm-VirtualBox.37952;37952;bbox.lan.domain:;1au;
02:46:56.042283;bbox.lan.domain;domain;oklm-VirtualBox.37952:;;
02:46:56.043023;oklm-VirtualBox.56019;56019;bbox.lan.domain:;1au;
02:46:56.071826;bbox.lan.domain;domain;oklm-VirtualBox.56019:;;
02:46:56.071851;bbox.lan.domain;domain;oklm-VirtualBox.60249:;;
02:46:56.071854;bbox.lan.domain;domain;oklm-VirtualBox.37114:;;
02:46:56.072651;oklm-VirtualBox.56019;56019;bbox.lan.domain:;;
02:46:56.072950;oklm-VirtualBox.37114;37114;bbox.lan.domain:;;
02:46:56.073365;oklm-VirtualBox.60249;60249;bbox.lan.domain:;;
02:46:56.075148;bbox.lan.domain;domain;oklm-VirtualBox.56019:;;
02:46:56.090020;bbox.lan.domain;domain;oklm-VirtualBox.37114:;;
02:46:56.133358;bbox.lan.domain;domain;oklm-VirtualBox.60249:;;
02:47:01.014433;oklm-VirtualBox.41995;41995;bbox.lan.domain:;1au;
02:47:01.014594;oklm-VirtualBox.38102;38102;bbox.lan.domain:;1au;
02:47:01.066247;bbox.lan.domain;domain;oklm-VirtualBox.41995:;;
02:47:01.080011;bbox.lan.domain;domain;oklm-VirtualBox.38102:;;
02:47:01.089543;oklm-VirtualBox;oklm-VirtualBox;mrs09s15-in-f3.1e100.net:;;
02:47:01.178554;mrs09s15-in-f3.1e100.net;net;oklm-VirtualBox:;;
02:47:01.179254;oklm-VirtualBox.35231;35231;bbox.lan.domain:;1au;
02:47:01.213660;Request;Request;_gateway;;
02:47:01.221425;bbox.lan.domain;domain;oklm-VirtualBox.35231:;;
02:47:01.221425;Reply;Reply;is-at;;
02:47:01.277265;oklm-VirtualBox.48106;48106;bbox.lan.domain:;1au;
02:47:01.280642;bbox.lan.domain;domain;oklm-VirtualBox.48106:;;
02:47:01.280791;oklm-VirtualBox.48106;48106;bbox.lan.domain:;;
02:47:01.284886;bbox.lan.domain;domain;oklm-VirtualBox.48106:;;
02:47:02.094525;oklm-VirtualBox;oklm-VirtualBox;mrs09s15-in-f3.1e100.net:;;
02:47:02.105128;mrs09s15-in-f3.1e100.net;net;oklm-VirtualBox:;;
02:47:03.099793;oklm-VirtualBox;oklm-VirtualBox;mrs09s15-in-f3.1e100.net:;;
02:47:03.113541;mrs09s15-in-f3.1e100.net;net;oklm-VirtualBox:;;
02:47:04.102971;oklm-VirtualBox;oklm-VirtualBox;mrs09s15-in-f3.1e100.net:;;
02:47:04.113339;mrs09s15-in-f3.1e100.net;net;oklm-VirtualBox:;;
02:48:04.560873;oklm-VirtualBox.52449;52449;bbox.lan.domain:;1au;
02:48:04.561299;oklm-VirtualBox.50963;50963;bbox.lan.domain:;1au;
02:48:04.570241;bbox.lan.domain;domain;oklm-VirtualBox.50963:;;
02:48:04.570267;bbox.lan.domain;domain;oklm-VirtualBox.52449:;;
02:48:04.570479;oklm-VirtualBox.50497;50497;bbox.lan.domain:;1au;
02:48:04.579356;bbox.lan.domain;domain;oklm-VirtualBox.50497:;;
02:48:04.581981;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;S;1809307518
02:48:04.624601;oklm-VirtualBox.37613;37613;bbox.lan.domain:;1au;
02:48:04.659641;bbox.lan.domain;domain;oklm-VirtualBox.37613:;;
02:48:04.766283;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;S.;146816001
02:48:04.766415;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;.;
02:48:04.768475;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;P.;1:518
02:48:04.769129;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;
02:48:04.956651;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;1:2921
02:48:04.956761;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;.;
02:48:04.957940;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;P.;2921:3442
02:48:04.958067;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;.;
02:48:04.965715;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;P.;518:644
02:48:04.966746;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;
02:48:05.151664;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;P.;3442:3493
02:48:05.198377;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;.;
02:48:05.479980;oklm-VirtualBox.58689;58689;bbox.lan.domain:;1au;
02:48:05.481496;oklm-VirtualBox.41189;41189;bbox.lan.domain:;1au;
02:48:05.506233;bbox.lan.domain;domain;oklm-VirtualBox.58689:;;
02:48:05.535239;bbox.lan.domain;domain;oklm-VirtualBox.41189:;;
02:48:05.535900;oklm-VirtualBox.36251;36251;bbox.lan.domain:;1au;
02:48:05.564908;bbox.lan.domain;domain;oklm-VirtualBox.36251:;;
02:48:05.567334;oklm-VirtualBox.58244;58244;192.229.221.95.http:;S;1346145511
02:48:05.580212;192.229.221;http;oklm-VirtualBox.58244:;S.;146944001
02:48:05.580312;oklm-VirtualBox.58244;58244;192.229.221.95.http:;.;
02:48:05.581143;oklm-VirtualBox.58244;58244;192.229.221.95.http:;P.;1:425
02:48:05.581946;192.229.221;http;oklm-VirtualBox.58244:;.;
02:48:05.597624;192.229.221;http;oklm-VirtualBox.58244:;P.;1:738
02:48:05.597655;oklm-VirtualBox.58244;58244;192.229.221.95.http:;.;
02:48:05.669726;oklm-VirtualBox.41918;41918;bbox.lan.domain:;1au;
02:48:05.683131;bbox.lan.domain;domain;oklm-VirtualBox.41918:;;
02:48:05.683374;oklm-VirtualBox.41918;41918;bbox.lan.domain:;;
02:48:05.712174;bbox.lan.domain;domain;oklm-VirtualBox.41918:;;
